Away,Year,Date,MonthNo,DayNum,Time,Home,Week,Game,Weekday,AwayWL,HomeWL,AwayPts,HomePts,AwayMargin,HomeMargin,OT,Spread,vs. Line,Over/Under,OU Result
SEA,2015,2015-12-06,12,6,1:02,MIN,13,12,Sun,W,L,38,7,31,-31,,-1.5,covered,42,over
ARI,2015,2015-09-20,9,20,1:00,CHI,2,2,Sun,W,L,48,23,25,-25,,-2,covered,46,over
MIN,2015,2015-10-25,10,25,1:02,DET,7,6,Sun,W,L,28,19,9,-9,,-2,covered,44.5,over
TEN,2015,2015-09-20,9,20,1:02,CLE,2,2,Sun,L,W,14,28,-14,14,,-2,not covered,41,over
BAL,2015,2015-10-18,10,18,4:25,SFO,6,6,Sun,L,W,20,25,-5,5,,-2,not covered,43.5,over
BUF,2015,2015-12-20,12,20,1:03,WAS,15,14,Sun,L,W,25,35,-10,10,,-2.5,not covered,44,over
IND,2015,2015-09-13,9,13,1:03,BUF,1,1,Sun,L,W,14,27,-13,13,,-2.5,not covered,45,under
GNB,2015,2015-11-01,11,1,8:30,DEN,8,7,Sun,L,W,10,29,-19,19,,-2.5,not covered,45.5,under
NYG,2015,2015-10-19,10,19,8:30,PHI,6,6,Mon,L,W,7,27,-20,20,,5,not covered,49.5,under
PHI,2015,2016-01-03,1,3,1:03,NYG,17,16,Sun,W,L,35,30,5,-5,,5,covered,51,over
CHI,2015,2015-11-09,11,9,8:30,SDG,9,8,Mon,W,L,22,19,3,-3,,4.5,covered,49.5,under
CIN,2015,2015-11-22,11,22,8:30,ARI,11,10,Sun,L,W,31,34,-3,3,,4.5,covered,48.5,over
IND,2015,2015-11-22,11,22,1:02,ATL,11,10,Sun,W,L,24,21,3,-3,,4.5,covered,47.5,under
GNB,2015,2015-12-27,12,27,4:25,ARI,16,15,Sun,L,W,8,38,-30,30,,4.5,not covered,50.5,under
HOU,2015,2015-10-25,10,25,1:02,MIA,7,7,Sun,L,W,26,44,-18,18,,4.5,not covered,44.5,over
KAN,2015,2015-11-15,11,15,4:30,DEN,10,9,Sun,W,L,29,13,16,-16,,4.5,covered,42,push
NOR,2015,2015-12-13,12,13,1:02,TAM,14,13,Sun,W,L,24,17,7,-7,,4.5,covered,50.5,under
TEN,2015,2016-01-03,1,3,1:02,IND,17,16,Sun,L,W,24,30,-6,6,,4.5,not covered,39,over
OAK,2015,2015-11-08,11,8,1:02,PIT,9,8,Sun,L,W,35,38,-3,3,,4.5,covered,48.5,over
BAL,2015,2015-09-13,9,13,4:25,DEN,1,1,Sun,L,W,13,19,-6,6,,4.5,not covered,48,under
SDG,2015,2015-11-29,11,29,1:03,JAX,12,11,Sun,W,L,31,25,6,-6,,4.5,covered,46.5,over
MIA,2015,2015-11-29,11,29,1:02,NYJ,12,11,Sun,L,W,20,38,-18,18,,4,not covered,42.5,over
NOR,2015,2015-10-25,10,25,1:03,IND,7,7,Sun,W,L,27,21,6,-6,,4,covered,52,under
CLE,2015,2015-09-13,9,13,1:04,NYJ,1,1,Sun,L,W,10,31,-21,21,,3.5,not covered,39.5,over
DAL,2015,2015-12-07,12,7,8:31,WAS,13,12,Mon,W,L,19,16,3,-3,,3.5,covered,42,under
DET,2015,2015-11-01,11,1,9:36,KAN,8,8,Sun,L,W,10,45,-35,35,,3.5,not covered,45,over
HOU,2015,2015-12-06,12,6,1:02,BUF,13,12,Sun,L,W,21,30,-9,9,,3.5,not covered,41.5,over
KAN,2015,2015-10-04,10,4,1:03,CIN,4,4,Sun,L,W,21,36,-15,15,,3.5,not covered,45,over
KAN,2015,2015-10-18,10,18,1:02,MIN,6,6,Sun,L,W,10,16,-6,6,,3.5,not covered,43,under
TEN,2015,2015-11-01,11,1,1:02,HOU,8,7,Sun,L,W,6,20,-14,14,,3.5,not covered,42.5,under
PIT,2015,2015-10-12,10,12,8:30,SDG,5,5,Mon,W,L,24,20,4,-4,,3.5,covered,46,under
PIT,2015,2015-11-29,11,29,4:26,SEA,12,11,Sun,L,W,30,39,-9,9,,3.5,not covered,45.5,over
OAK,2015,2015-09-27,9,27,1:02,CLE,3,3,Sun,W,L,27,20,7,-7,,3.5,covered,42.5,over
OAK,2015,2015-10-25,10,25,4:05,SDG,7,6,Sun,W,L,37,29,8,-8,,3.5,covered,47,over
BAL,2015,2015-11-30,11,30,8:30,CLE,12,11,Mon,W,L,33,27,6,-6,,3.5,covered,41.5,over
BAL,2015,2015-12-06,12,6,1:03,MIA,13,12,Sun,L,W,13,15,-2,2,,3.5,covered,42.5,under
SDG,2015,2015-11-01,11,1,1:02,BAL,8,8,Sun,L,W,26,29,-3,3,,3.5,covered,51,over
WAS,2015,2015-09-24,9,24,8:26,NYG,3,3,Thu,L,W,21,32,-11,11,,3.5,not covered,44,over
WAS,2015,2015-12-13,12,13,1:02,CHI,14,13,Sun,W,L,24,21,3,-3,,3.5,covered,43,over
WAS,2015,2016-01-03,1,3,1:03,DAL,17,16,Sun,W,L,34,23,11,-11,,3.5,covered,39.5,over
ATL,2015,2015-12-20,12,20,1:02,JAX,15,14,Sun,W,L,23,17,6,-6,,3,covered,49,under
CHI,2015,2015-10-18,10,18,1:02,DET,6,6,Sun,L,W,34,37,-3,3,OT,3,push,44,over
CHI,2015,2015-12-27,12,27,1:03,TAM,16,15,Sun,W,L,26,21,5,-5,,3,covered,45,over
CIN,2015,2015-12-28,12,28,8:30,DEN,16,15,Mon,L,W,17,20,-3,3,OT,3,push,39.5,under
ARI,2015,2015-11-15,11,15,8:35,SEA,10,9,Sun,W,L,39,32,7,-7,,3,covered,44.5,over
DAL,2015,2015-10-04,10,4,8:30,NOR,4,4,Sun,L,W,20,26,-6,6,OT,3,not covered,48,under
DAL,2015,2015-10-25,10,25,4:25,NYG,7,6,Sun,L,W,20,27,-7,7,,3,not covered,45,over
DEN,2015,2015-09-17,9,17,8:29,KAN,2,2,Thu,W,L,31,24,7,-7,,3,covered,42,over
HOU,2015,2015-09-20,9,20,1:02,CAR,2,2,Sun,L,W,17,24,-7,7,,3,not covered,39.5,over
JAX,2015,2015-12-27,12,27,4:05,NOR,16,15,Sun,L,W,27,38,-11,11,,3,not covered,51.5,over
MIA,2015,2015-11-08,11,8,1:02,BUF,9,8,Sun,L,W,17,33,-16,16,,3,not covered,44,over
MIN,2015,2015-11-15,11,15,4:05,OAK,10,9,Sun,W,L,30,14,16,-16,,3,covered,44,push
MIN,2015,2016-01-03,1,3,8:30,GNB,17,16,Sun,W,L,20,13,7,-7,,3,covered,45.5,under
NOR,2015,2015-11-29,11,29,1:02,HOU,12,11,Sun,L,W,6,24,-18,18,,3,not covered,48,under
NYG,2015,2015-11-01,11,1,1:02,NOR,8,8,Sun,L,W,49,52,-3,3,,3,push,49.5,over
TEN,2015,2015-09-13,9,13,4:25,TAM,1,1,Sun,W,L,42,14,28,-28,,3,covered,41,over
PHI,2015,2015-10-25,10,25,8:31,CAR,7,7,Sun,L,W,16,27,-11,11,,3,not covered,45,under
PIT,2015,2015-10-25,10,25,1:03,KAN,7,7,Sun,L,W,13,23,-10,10,,3,not covered,43,under
SDG,2015,2015-09-20,9,20,1:03,CIN,2,2,Sun,L,W,19,24,-5,5,,3,not covered,47,under
SEA,2015,2015-09-20,9,20,8:25,GNB,2,2,Sun,L,W,17,27,-10,10,,3,not covered,49,under
SEA,2015,2015-10-11,10,11,1:03,CIN,5,5,Sun,L,W,24,27,-3,3,OT,3,push,43.5,over
TAM,2015,2015-10-25,10,25,1:04,WAS,7,6,Sun,L,W,30,31,-1,1,,3,covered,42.5,over
TAM,2015,2015-11-29,11,29,1:02,IND,12,11,Sun,L,W,12,25,-13,13,,3,not covered,46,under
WAS,2015,2015-12-26,12,26,8:26,PHI,16,15,Sat,W,L,38,24,14,-14,,3,covered,48,over
ATL,2015,2015-09-20,9,20,1:02,NYG,2,2,Sun,W,L,24,20,4,-4,,2.5,covered,51,under
BUF,2015,2015-09-27,9,27,4:25,MIA,3,3,Sun,W,L,41,14,27,-27,,2.5,covered,41.5,over
BUF,2015,2015-11-12,11,12,8:26,NYJ,10,9,Thu,W,L,22,17,5,-5,,2.5,covered,42.5,under
CIN,2015,2015-09-27,9,27,1:02,BAL,3,3,Sun,W,L,28,24,4,-4,,2.5,covered,44.5,over
CHI,2015,2015-09-27,9,27,4:26,SEA,3,3,Sun,L,W,0,26,-26,26,,14.5,not covered,43.5,under
CLE,2015,2015-12-20,12,20,4:06,SEA,15,14,Sun,L,W,13,30,-17,17,,14,not covered,43,push
TEN,2015,2015-12-20,12,20,1:02,NWE,15,14,Sun,L,W,16,33,-17,17,,14,not covered,46.5,over
WAS,2015,2015-11-08,11,8,1:02,NWE,9,8,Sun,L,W,10,27,-17,17,,14,not covered,52,under
JAX,2015,2015-09-27,9,27,1:06,NWE,3,3,Sun,L,W,17,51,-34,34,,13.5,not covered,49,over
SFO,2015,2015-11-22,11,22,4:27,SEA,11,10,Sun,L,W,13,29,-16,16,,13.5,not covered,40,over
STL,2015,2015-12-27,12,27,4:26,SEA,16,15,Sun,W,L,23,17,6,-6,,12,covered,40,push
CLE,2015,2015-11-05,11,5,8:25,CIN,9,9,Thu,L,W,10,31,-21,21,,11,not covered,45,under
CLE,2015,2015-12-27,12,27,1:03,KAN,16,15,Sun,L,W,13,17,-4,4,,10.5,covered,42.5,under
DET,2015,2015-11-15,11,15,1:04,GNB,10,9,Sun,W,L,18,16,2,-2,,10.5,covered,49.5,under
HOU,2015,2015-11-16,11,16,8:30,CIN,10,9,Mon,W,L,10,6,4,-4,,10.5,covered,47,under
SDG,2015,2015-10-18,10,18,4:25,GNB,6,6,Sun,L,W,20,27,-7,7,,10.5,covered,51,under
SDG,2015,2015-12-13,12,13,1:03,KAN,14,13,Sun,L,W,3,10,-7,7,,10.5,covered,44,under
SDG,2015,2016-01-03,1,3,4:25,DEN,17,16,Sun,L,W,20,27,-7,7,,10,covered,41.5,over
TAM,2015,2015-09-20,9,20,1:02,NOR,2,2,Sun,W,L,26,19,7,-7,,10,covered,47.5,under
TAM,2015,2016-01-03,1,3,4:25,CAR,17,16,Sun,L,W,10,38,-28,28,,10,not covered,46,over
DET,2015,2015-10-05,10,5,8:31,SEA,4,4,Mon,L,W,10,13,-3,3,,9.5,covered,43,under
JAX,2015,2015-10-04,10,4,1:02,IND,4,4,Sun,L,W,13,16,-3,3,OT,9.5,covered,48,under
NOR,2015,2015-09-27,9,27,1:03,CAR,3,3,Sun,L,W,22,27,-5,5,,9.5,covered,43.5,over
BAL,2015,2016-01-03,1,3,1:02,CIN,17,16,Sun,L,W,16,24,-8,8,,9.5,covered,41.5,under
SFO,2015,2015-12-27,12,27,1:03,DET,16,15,Sun,L,W,17,32,-15,15,,9.5,not covered,42,over
CHI,2015,2015-10-11,10,11,1:02,KAN,5,5,Sun,W,L,18,17,1,-1,,9,covered,45,under
STL,2015,2015-10-11,10,11,1:02,GNB,5,5,Sun,L,W,10,24,-14,14,,9,not covered,45.5,under
CHI,2015,2015-11-26,11,26,8:30,GNB,12,11,Thu,W,L,17,13,4,-4,,8.5,covered,44.5,under
MIN,2015,2015-12-10,12,10,8:25,ARI,14,13,Thu,L,W,20,23,-3,3,,8.5,covered,46.5,under
STL,2015,2015-11-29,11,29,1:02,CIN,12,11,Sun,L,W,7,31,-24,24,,8.5,not covered,42,under
JAX,2015,2015-11-08,11,8,1:02,NYJ,9,8,Sun,L,W,23,28,-5,5,,8,covered,42,over
PHI,2015,2015-12-06,12,6,4:25,NWE,13,12,Sun,W,L,35,28,7,-7,,8,covered,49,over
BAL,2015,2015-10-26,10,26,8:30,ARI,7,7,Mon,L,W,18,26,-8,8,,8,push,49,under
ATL,2015,2015-12-13,12,13,1:03,CAR,14,13,Sun,L,W,0,38,-38,38,,7.5,not covered,46.5,under
IND,2015,2015-12-06,12,6,8:30,PIT,13,12,Sun,L,W,10,45,-35,35,,7.5,not covered,49,over
MIA,2015,2015-10-29,10,29,8:26,NWE,8,7,Thu,L,W,7,36,-29,29,,7.5,not covered,50.5,under
NYJ,2015,2015-10-25,10,25,1:02,NWE,7,6,Sun,L,W,23,30,-7,7,,7.5,covered,47.5,over
TEN,2015,2015-11-08,11,8,1:02,NOR,9,8,Sun,W,L,34,28,6,-6,OT,7.5,covered,48,over
SFO,2015,2015-11-01,11,1,1:00,STL,8,8,Sun,L,W,6,27,-21,21,,7.5,not covered,39.5,under
