Away,Year,Date,MonthNo,DayNum,Time,Home,Week,Game,Weekday,AwayWL,HomeWL,AwayPts,HomePts,AwayMargin,HomeMargin,OT,Spread,vs. Line,Over/Under,OU Result
NYJ,2016,2016-10-09,10,9,1:02,PIT,5,5,Sun,L,W,13,31,-18,18,,10,not covered,50,under
LAR,2016,2016-10-02,10,2,4:25,ARI,4,4,Sun,W,L,17,13,4,-4,,10,covered,43.5,under
ARI,2016,2016-12-24,12,24,4:25,SEA,16,15,Sat,W,L,34,31,3,-3,,9,covered,43.5,over
NWE,2016,2016-09-11,9,11,8:30,ARI,1,1,Sun,W,L,23,21,2,-2,,9,covered,44.5,under
NYG,2016,2017-01-01,1,1,4:25,WAS,17,16,Sun,W,L,19,10,9,-9,,9,covered,47.5,under
HOU,2016,2016-10-24,10,24,8:30,DEN,7,7,Mon,L,W,9,27,-18,18,,8.5,not covered,40,under
JAX,2016,2016-11-27,11,27,1:00,BUF,12,11,Sun,L,W,21,28,-7,7,,8.5,covered,43.5,over
CAR,2016,2016-12-04,12,4,8:30,SEA,13,12,Sun,L,W,7,40,-33,33,,8,not covered,43.5,over
LAR,2016,2016-11-27,11,27,1:00,NOR,12,11,Sun,L,W,21,49,-28,28,,8,not covered,45,over
CHI,2016,2016-10-20,10,20,8:26,GNB,7,7,Thu,L,W,10,26,-16,16,,7.5,not covered,46.5,under
CHI,2016,2016-12-11,12,11,1:00,DET,14,13,Sun,L,W,17,20,-3,3,,7.5,covered,42,under
CIN,2016,2016-10-16,10,16,1:02,NWE,6,6,Sun,L,W,17,35,-18,18,,7.5,not covered,48,over
CLE,2016,2016-10-02,10,2,1:05,WAS,4,4,Sun,L,W,20,31,-11,11,,7.5,not covered,48,over
CLE,2016,2016-10-16,10,16,1:02,TEN,6,6,Sun,L,W,26,28,-2,2,,7.5,covered,44.5,over
CLE,2016,2016-11-10,11,10,8:25,BAL,10,10,Thu,L,W,7,28,-21,21,,7.5,not covered,44,under
IND,2016,2016-11-06,11,6,4:25,GNB,9,9,Sun,W,L,31,26,5,-5,,7.5,covered,52,over
MIA,2016,2016-09-29,9,29,8:26,CIN,4,4,Thu,L,W,7,22,-15,15,,7.5,not covered,46,under
NOR,2016,2017-01-01,1,1,4:25,ATL,17,16,Sun,L,W,32,38,-6,6,,7.5,covered,58.5,over
SEA,2016,2016-11-13,11,13,8:30,NWE,10,9,Sun,W,L,31,24,7,-7,,7.5,covered,49.5,over
SFO,2016,2016-10-16,10,16,1:02,BUF,6,6,Sun,L,W,16,45,-29,29,,7.5,not covered,44,over
SFO,2016,2016-11-27,11,27,1:00,MIA,12,11,Sun,L,W,24,31,-7,7,,7.5,covered,44.5,over
TAM,2016,2016-09-18,9,18,1:05,ARI,2,2,Sun,L,W,7,40,-33,33,,7.5,not covered,49.5,under
ATL,2016,2016-10-16,10,16,4:26,SEA,6,6,Sun,L,W,24,26,-2,2,,7,covered,45.5,over
CAR,2016,2016-12-19,12,19,8:30,WAS,15,14,Mon,W,L,26,15,11,-11,,7,covered,50.5,under
CHI,2016,2016-11-20,11,20,1:00,NYG,11,10,Sun,L,W,16,22,-6,6,,7,covered,41.5,under
JAX,2016,2016-11-06,11,6,1:00,KAN,9,8,Sun,L,W,14,19,-5,5,,7,covered,42.5,under
NOR,2016,2016-10-23,10,23,1:03,KAN,7,6,Sun,L,W,21,27,-6,6,,7,covered,51.5,under
NYG,2016,2016-10-09,10,9,8:30,GNB,5,5,Sun,L,W,16,23,-7,7,,7,push,49,under
NYJ,2016,2016-10-17,10,17,8:30,ARI,6,6,Mon,L,W,3,28,-25,25,,7,not covered,45.5,under
BAL,2016,2016-11-20,11,20,1:00,DAL,11,10,Sun,L,W,17,27,-10,10,,7,not covered,44.5,under
TAM,2016,2016-11-20,11,20,1:00,KAN,11,10,Sun,W,L,19,17,2,-2,,7,covered,45,under
TAM,2016,2016-12-18,12,18,8:30,DAL,15,14,Sun,L,W,20,26,-6,6,,7,covered,47.5,under
CHI,2016,2016-09-25,9,25,8:31,DAL,3,3,Sun,L,W,17,31,-14,14,,6.5,not covered,44.5,over
DAL,2016,2017-01-01,1,1,1:00,PHI,17,16,Sun,L,W,13,27,-14,14,,6.5,not covered,44,under
DET,2016,2016-12-04,12,4,1:00,NOR,13,12,Sun,W,L,28,13,15,-15,,6.5,covered,53,under
DET,2016,2016-12-26,12,26,8:30,DAL,16,15,Mon,L,W,21,42,-21,21,,6.5,not covered,46.5,over
HOU,2016,2016-11-21,11,21,8:30,OAK,11,10,Mon,L,W,20,27,-7,7,,6.5,not covered,45.5,over
HOU,2016,2016-12-04,12,4,1:00,GNB,13,12,Sun,L,W,13,21,-8,8,,6.5,not covered,44.5,under
HOU,2016,2016-12-11,12,11,1:00,IND,14,13,Sun,W,L,22,17,5,-5,,6.5,covered,47.5,under
NYG,2016,2016-12-04,12,4,4:25,PIT,13,12,Sun,L,W,14,24,-10,10,,6.5,not covered,49.5,under
PHI,2016,2016-11-20,11,20,4:25,SEA,11,10,Sun,L,W,15,26,-11,11,,6.5,not covered,42.5,under
SDG,2016,2016-09-11,9,11,1:05,KAN,1,1,Sun,L,W,27,33,-6,6,OT,6.5,covered,45.5,over
CHI,2016,2017-01-01,1,1,1:00,MIN,17,16,Sun,L,W,10,38,-28,28,,6,not covered,44,over
IND,2016,2016-09-18,9,18,4:25,DEN,2,2,Sun,L,W,20,34,-14,14,,6,not covered,47,over
DET,2016,2016-09-25,9,25,1:02,GNB,3,3,Sun,L,W,27,34,-7,7,,6,not covered,47.5,over
HOU,2016,2016-10-09,10,9,1:05,MIN,5,5,Sun,L,W,13,31,-18,18,,6,not covered,39,over
MIN,2016,2016-09-25,9,25,1:02,CAR,3,3,Sun,W,L,22,10,12,-12,,6,covered,43,under
MIN,2016,2016-12-24,12,24,1:00,GNB,16,15,Sat,L,W,25,38,-13,13,,6,not covered,44.5,over
TEN,2016,2016-09-18,9,18,1:02,DET,2,2,Sun,W,L,16,15,1,-1,,6,covered,48,under
TEN,2016,2016-12-18,12,18,1:00,KAN,15,14,Sun,W,L,19,17,2,-2,,6,covered,43,under
BAL,2016,2016-12-12,12,12,8:30,NWE,14,13,Mon,L,W,23,30,-7,7,,6,not covered,45,over
SFO,2016,2016-12-24,12,24,4:25,LAR,16,15,Sat,W,L,22,21,1,-1,,6,covered,39.5,over
TAM,2016,2016-10-10,10,10,8:04,CAR,5,5,Mon,W,L,17,14,3,-3,,6,covered,46.5,under
BUF,2016,2016-11-07,11,7,8:30,SEA,9,9,Mon,L,W,25,31,-6,6,,5.5,not covered,43.5,over
CHI,2016,2016-09-11,9,11,1:05,HOU,1,1,Sun,L,W,14,23,-9,9,,5.5,not covered,43,under
JAX,2016,2016-11-20,11,20,1:00,DET,11,10,Sun,L,W,19,26,-7,7,,5.5,not covered,47,under
JAX,2016,2017-01-01,1,1,1:00,IND,17,16,Sun,L,W,20,24,-4,4,,5.5,covered,48.5,under
MIA,2016,2016-09-18,9,18,1:02,NWE,2,2,Sun,L,W,24,31,-7,7,,5.5,not covered,42,over
BAL,2016,2016-12-25,12,25,4:30,PIT,16,15,Sun,L,W,27,31,-4,4,,5.5,covered,46.5,over
WAS,2016,2016-11-24,11,24,4:30,DAL,12,11,Thu,L,W,26,31,-5,5,,5.5,covered,53,over
IND,2016,2016-12-18,12,18,1:00,MIN,15,14,Sun,W,L,34,6,28,-28,,5,covered,44.5,under
DAL,2016,2016-10-16,10,16,4:25,GNB,6,6,Sun,W,L,30,16,14,-14,,5,covered,47,under
KAN,2016,2016-12-04,12,4,1:00,ATL,13,12,Sun,W,L,29,28,1,-1,,5,covered,50,over
PHI,2016,2016-10-30,10,30,8:31,DAL,8,7,Sun,L,W,23,29,-6,6,OT,5,not covered,44,over
PHI,2016,2016-12-18,12,18,1:00,BAL,15,14,Sun,L,W,26,27,-1,1,,5,covered,41,over
DET,2016,2016-11-06,11,6,1:00,MIN,9,9,Sun,W,L,22,16,6,-6,OT,4.5,covered,42.5,under
MIA,2016,2016-12-24,12,24,1:00,BUF,16,15,Sat,W,L,34,31,3,-3,OT,4.5,covered,44.5,over
SDG,2016,2016-10-23,10,23,4:05,ATL,7,7,Sun,W,L,33,30,3,-3,OT,4.5,covered,52.5,over
ATL,2016,2016-09-18,9,18,4:25,OAK,2,2,Sun,W,L,35,28,7,-7,,4,covered,47.5,over
CHI,2016,2016-10-09,10,9,1:02,IND,5,5,Sun,L,W,23,29,-6,6,,4,not covered,47.5,over
CLE,2016,2016-09-11,9,11,1:05,PHI,1,1,Sun,L,W,10,29,-19,19,,4,not covered,41.5,under
IND,2016,2016-10-23,10,23,1:02,TEN,7,7,Sun,W,L,34,26,8,-8,,4,covered,48,over
ARI,2016,2016-11-27,11,27,1:00,ATL,12,11,Sun,L,W,19,38,-19,19,,4,not covered,49,over
DET,2016,2016-12-18,12,18,1:00,NYG,15,14,Sun,L,W,6,17,-11,11,,4,not covered,42.5,under
GNB,2016,2016-11-28,11,28,8:30,PHI,12,11,Mon,W,L,27,13,14,-14,,4,covered,47,under
MIA,2016,2016-11-13,11,13,4:05,SDG,10,9,Sun,W,L,31,24,7,-7,,4,covered,48.5,over
TEN,2016,2016-10-02,10,2,1:02,HOU,4,4,Sun,L,W,20,27,-7,7,,4,not covered,40,over
WAS,2016,2016-10-09,10,9,1:03,BAL,5,5,Sun,W,L,16,10,6,-6,,4,covered,44.5,under
ATL,2016,2016-10-09,10,9,4:05,DEN,5,5,Sun,W,L,23,16,7,-7,,3.5,covered,44.5,under
BUF,2016,2016-10-02,10,2,1:02,NWE,4,4,Sun,W,L,16,0,16,-16,,3.5,covered,41,under
CAR,2016,2016-11-27,11,27,4:25,OAK,12,11,Sun,L,W,32,35,-3,3,,3.5,covered,48.5,over
CIN,2016,2016-11-27,11,27,1:00,BAL,12,11,Sun,L,W,14,19,-5,5,,3.5,not covered,41.5,under
IND,2016,2016-12-24,12,24,4:05,OAK,16,15,Sat,L,W,25,33,-8,8,,3.5,not covered,52,over
DAL,2016,2016-09-18,9,18,1:03,WAS,2,2,Sun,W,L,27,23,4,-4,,3.5,covered,47,over
DEN,2016,2016-09-25,9,25,1:02,CIN,3,3,Sun,W,L,29,17,12,-12,,3.5,covered,42,over
DEN,2016,2016-12-25,12,25,8:30,KAN,16,15,Sun,L,W,10,33,-23,23,,3.5,not covered,38,over
JAX,2016,2016-12-18,12,18,1:00,HOU,15,14,Sun,L,W,20,21,-1,1,,3.5,covered,39.5,over
KAN,2016,2016-11-27,11,27,8:30,DEN,12,11,Sun,W,L,30,27,3,-3,OT,3.5,covered,40,over
MIA,2016,2016-12-04,12,4,1:00,BAL,13,12,Sun,L,W,6,38,-32,32,,3.5,not covered,41.5,over
NOR,2016,2016-09-18,9,18,1:03,NYG,2,2,Sun,L,W,13,16,-3,3,,3.5,covered,54,under
NOR,2016,2016-10-02,10,2,4:25,SDG,4,4,Sun,W,L,35,34,1,-1,,3.5,covered,54,over
NOR,2016,2016-11-17,11,17,8:25,CAR,11,10,Thu,L,W,20,23,-3,3,,3.5,covered,52.5,under
NYG,2016,2016-10-03,10,3,8:35,MIN,4,4,Mon,L,W,10,24,-14,14,,3.5,not covered,42.5,under
NYJ,2016,2016-11-06,11,6,1:00,MIA,9,9,Sun,L,W,23,27,-4,4,,3.5,not covered,45,over
TEN,2016,2016-11-06,11,6,4:25,SDG,9,9,Sun,L,W,35,43,-8,8,,3.5,not covered,47.5,over
OAK,2016,2016-10-02,10,2,1:02,BAL,4,4,Sun,W,L,28,27,1,-1,,3.5,covered,45,over
OAK,2016,2016-12-08,12,8,8:25,KAN,14,13,Thu,L,W,13,21,-8,8,,3.5,not covered,46,under
LAR,2016,2016-09-25,9,25,4:05,TAM,3,3,Sun,W,L,37,32,5,-5,,3.5,covered,40.5,over
BAL,2016,2016-10-16,10,16,1:02,NYG,6,6,Sun,L,W,23,27,-4,4,,3.5,not covered,42.5,over
SDG,2016,2016-10-09,10,9,4:25,OAK,5,5,Sun,L,W,31,34,-3,3,,3.5,covered,50.5,over
SDG,2016,2016-10-30,10,30,4:05,DEN,8,8,Sun,L,W,19,27,-8,8,,3.5,not covered,43,over
TAM,2016,2016-12-04,12,4,4:25,SDG,13,12,Sun,W,L,28,21,7,-7,,3.5,covered,49,push
WAS,2016,2016-09-25,9,25,1:02,NYG,3,3,Sun,W,L,29,27,2,-2,,3.5,covered,47,over
BUF,2016,2016-09-11,9,11,1:04,BAL,1,1,Sun,L,W,7,13,-6,6,,3,not covered,44.5,under
BUF,2016,2016-12-04,12,4,4:05,OAK,13,12,Sun,L,W,24,38,-14,14,,3,not covered,48.5,over
CAR,2016,2017-01-01,1,1,1:00,TAM,17,16,Sun,L,W,16,17,-1,1,,3,covered,44.5,under
CIN,2016,2016-09-18,9,18,1:02,PIT,2,2,Sun,L,W,16,24,-8,8,,3,not covered,48,under
CIN,2016,2016-12-24,12,24,8:25,HOU,16,15,Sat,L,W,10,12,-2,2,,3,covered,41.5,under
CLE,2016,2017-01-01,1,1,1:00,PIT,17,16,Sun,L,W,24,27,-3,3,OT,3,push,41.5,over
IND,2016,2016-10-16,10,16,8:32,HOU,6,6,Sun,L,W,23,26,-3,3,OT,3,push,47.5,over
DAL,2016,2016-11-13,11,13,4:25,PIT,10,9,Sun,W,L,35,30,5,-5,,3,covered,50.5,over
DEN,2016,2016-11-13,11,13,1:00,NOR,10,10,Sun,W,L,25,23,2,-2,,3,covered,50,under
GNB,2016,2016-10-30,10,30,4:25,ATL,8,7,Sun,L,W,32,33,-1,1,,3,covered,51,over
GNB,2016,2016-11-20,11,20,8:30,WAS,11,10,Sun,L,W,24,42,-18,18,,3,not covered,48,over
HOU,2016,2016-11-13,11,13,1:00,JAX,10,9,Sun,W,L,24,21,3,-3,,3,covered,42,over
HOU,2016,2017-01-01,1,1,1:00,TEN,17,16,Sun,L,W,17,24,-7,7,,3,not covered,41.5,under
JAX,2016,2016-09-18,9,18,4:25,SDG,2,2,Sun,L,W,14,38,-24,24,,3,not covered,47.5,over
JAX,2016,2016-10-27,10,27,8:26,TEN,8,7,Thu,L,W,22,36,-14,14,,3,not covered,43.5,over
KAN,2016,2016-10-02,10,2,8:30,PIT,4,4,Sun,L,W,14,43,-29,29,,3,not covered,48,over
KAN,2016,2016-11-13,11,13,1:00,CAR,10,9,Sun,W,L,20,17,3,-3,,3,covered,44,under
NOR,2016,2016-12-18,12,18,4:05,ARI,15,14,Sun,W,L,48,41,7,-7,,3,covered,48.5,over
NYJ,2016,2016-09-25,9,25,4:26,KAN,3,3,Sun,L,W,3,24,-21,21,,3,not covered,44.5,under
NYJ,2016,2016-12-11,12,11,4:05,SFO,14,13,Sun,W,L,23,17,6,-6,OT,3,covered,42.5,under
TEN,2016,2016-11-20,11,20,1:00,IND,11,11,Sun,L,W,17,24,-7,7,,3,not covered,53.5,under
PHI,2016,2016-09-19,9,19,8:30,CHI,2,2,Mon,W,L,29,14,15,-15,,3,covered,42.5,over
PHI,2016,2016-11-06,11,6,1:00,NYG,9,8,Sun,L,W,23,28,-5,5,,3,not covered,42.5,over
TAM,2016,2016-12-24,12,24,4:25,NOR,16,15,Sat,L,W,24,31,-7,7,,3,not covered,53,over
WAS,2016,2016-10-30,10,30,8:36,CIN,8,8,Sun,T,W,27,27,0,0,OT,3,covered,49,over
ATL,2016,2016-09-26,9,26,8:30,NOR,3,3,Mon,W,L,45,32,13,-13,,2.5,covered,54,over
BUF,2016,2016-11-20,11,20,1:00,CIN,11,10,Sun,W,L,16,12,4,-4,,2.5,covered,48,under
ARI,2016,2016-10-30,10,30,12:47,CAR,8,8,Sun,L,W,20,30,-10,10,,2.5,not covered,45.5,over
DET,2016,2016-09-11,9,11,4:27,IND,1,1,Sun,W,L,39,35,4,-4,,2.5,covered,51,over
JAX,2016,2016-10-16,10,16,1:02,CHI,6,5,Sun,W,L,17,16,1,-1,,2.5,covered,46,under
MIN,2016,2016-11-13,11,13,1:00,WAS,10,9,Sun,L,W,20,26,-6,6,,2.5,not covered,42,over
TEN,2016,2016-10-09,10,9,1:02,MIA,5,5,Sun,W,L,30,17,13,-13,,2.5,covered,44.5,over
OAK,2016,2016-09-11,9,11,1:05,NOR,1,1,Sun,W,L,35,34,1,-1,,2.5,covered,50,over
LAR,2016,2016-10-16,10,16,1:02,DET,6,6,Sun,L,W,28,31,-3,3,,2.5,not covered,44,over
BAL,2016,2016-10-23,10,23,1:04,NYJ,7,7,Sun,L,W,16,24,-8,8,,2.5,not covered,40,push
SEA,2016,2016-10-23,10,23,8:30,ARI,7,6,Sun,T,W,6,6,0,0,OT,2.5,covered,43,under
TAM,2016,2016-09-11,9,11,1:05,ATL,1,1,Sun,W,L,31,24,7,-7,,2.5,covered,46.5,over
WAS,2016,2016-12-04,12,4,4:25,ARI,13,12,Sun,L,W,23,31,-8,8,,2.5,not covered,48.5,over
ATL,2016,2016-11-13,11,13,1:00,PHI,10,10,Sun,L,W,15,24,-9,9,,2,not covered,48.5,under
ARI,2016,2016-11-20,11,20,1:00,MIN,11,10,Sun,L,W,24,30,-6,6,,2,not covered,39.5,over
DEN,2016,2016-12-11,12,11,1:00,TEN,14,13,Sun,L,W,10,13,-3,3,,2,not covered,44,under
NOR,2016,2016-12-11,12,11,4:25,TAM,14,13,Sun,L,W,11,16,-5,5,,2,not covered,52,under
PHI,2016,2016-12-04,12,4,1:00,CIN,13,12,Sun,L,W,14,32,-18,18,,2,not covered,42,over
OAK,2016,2016-10-23,10,23,1:02,JAX,7,7,Sun,W,L,33,16,17,-17,,2,covered,47.5,over
MIN,2016,2016-11-24,11,24,12:30,DET,12,11,Thu,L,W,13,16,-3,3,,1.5,not covered,42,under
NYG,2016,2016-12-22,12,22,8:25,PHI,16,15,Thu,L,W,19,24,-5,5,,1.5,not covered,42.5,over
SDG,2016,2016-09-25,9,25,4:25,IND,3,3,Sun,L,W,22,26,-4,4,,1.5,not covered,51.5,under
CIN,2016,2016-09-11,9,11,1:05,NYJ,1,1,Sun,W,L,23,22,1,-1,,1,covered,42,over
IND,2016,2016-12-05,12,5,8:30,NYJ,13,12,Mon,W,L,41,10,31,-31,,1,covered,48.5,over
DEN,2016,2016-11-06,11,6,8:30,OAK,9,9,Sun,L,W,20,30,-10,10,,1,not covered,44.5,over
DET,2016,2016-10-30,10,30,1:03,HOU,8,8,Sun,L,W,13,20,-7,7,,1,not covered,46.5,under
MIA,2016,2016-11-20,11,20,4:05,LAR,11,10,Sun,W,L,14,10,4,-4,,1,covered,39,under
NYG,2016,2016-09-11,9,11,4:27,DAL,1,1,Sun,W,L,20,19,1,-1,,1,covered,47.5,under
NYJ,2016,2016-09-15,9,15,8:26,BUF,2,2,Thu,W,L,37,31,6,-6,,1,covered,40.5,over
OAK,2016,2016-10-30,10,30,1:02,TAM,8,8,Sun,W,L,30,24,6,-6,OT,1,covered,48,over
OAK,2016,2017-01-01,1,1,4:25,DEN,17,16,Sun,L,W,6,24,-18,18,,1,not covered,40,under
SDG,2016,2016-12-11,12,11,1:00,CAR,14,13,Sun,L,W,16,28,-12,12,,1,not covered,48.5,under
TAM,2016,2016-10-23,10,23,4:05,SFO,7,6,Sun,W,L,34,17,17,-17,,1,covered,45,over
HOU,2016,2016-09-22,9,22,8:26,NWE,3,3,Thu,L,W,0,27,-27,27,,0,not covered,38.5,under
SFO,2016,2016-12-04,12,4,1:00,CHI,13,12,Sun,L,W,6,26,-20,20,,0,not covered,44,under
CIN,2016,2016-11-14,11,14,8:30,NYG,10,9,Mon,L,W,20,21,-1,1,,-1,not covered,49.5,under
IND,2016,2016-10-02,10,2,9:35,JAX,4,4,Sun,L,W,27,30,-3,3,,-1,not covered,48,over
DAL,2016,2016-10-02,10,2,4:25,SFO,4,4,Sun,W,L,24,17,7,-7,,-1,covered,44.5,under
KAN,2016,2016-09-18,9,18,1:02,HOU,2,2,Sun,L,W,12,19,-7,7,,-1,not covered,41.5,under
KAN,2016,2016-10-16,10,16,4:05,OAK,6,5,Sun,W,L,26,10,16,-16,,-1,covered,46.5,under
PIT,2016,2016-12-11,12,11,1:00,BUF,14,13,Sun,W,L,27,20,7,-7,,-1,covered,45.5,over
LAR,2016,2016-11-13,11,13,1:00,NYJ,10,9,Sun,W,L,9,6,3,-3,,-1,covered,39,under
SEA,2016,2016-10-02,10,2,1:03,NYJ,4,4,Sun,W,L,27,17,10,-10,,-1,covered,40,over
SEA,2016,2016-10-30,10,30,1:03,NOR,8,7,Sun,L,W,20,25,-5,5,,-1,not covered,50,under
WAS,2016,2016-10-23,10,23,1:02,DET,7,7,Sun,L,W,17,20,-3,3,,-1,not covered,50,under
GNB,2016,2016-09-18,9,18,8:32,MIN,2,2,Sun,L,W,14,17,-3,3,,-1.5,not covered,43,under
OAK,2016,2016-09-25,9,25,1:02,TEN,3,3,Sun,W,L,17,10,7,-7,,-1.5,covered,47,under
ARI,2016,2016-12-11,12,11,1:00,MIA,14,13,Sun,L,W,23,26,-3,3,,-2,not covered,44,over
WAS,2016,2016-12-11,12,11,1:00,PHI,14,13,Sun,W,L,27,22,5,-5,,-2,covered,48.5,over
BUF,2016,2016-10-09,10,9,4:25,LAR,5,5,Sun,W,L,30,19,11,-11,,-2.5,covered,41.5,over
BUF,2016,2016-10-23,10,23,1:02,MIA,7,7,Sun,L,W,25,28,-3,3,,-2.5,not covered,46,over
CAR,2016,2016-10-02,10,2,1:04,ATL,4,4,Sun,L,W,33,48,-15,15,,-2.5,not covered,48.5,over
CAR,2016,2016-10-16,10,16,1:03,NOR,6,6,Sun,L,W,38,41,-3,3,,-2.5,not covered,53.5,over
CHI,2016,2016-11-13,11,13,1:00,TAM,10,9,Sun,L,W,10,36,-26,26,,-2.5,not covered,45,over
CIN,2016,2016-10-09,10,9,4:25,DAL,5,5,Sun,L,W,14,28,-14,14,,-2.5,not covered,46,under
MIA,2016,2016-12-17,12,17,8:25,NYJ,15,14,Sat,W,L,34,13,21,-21,,-2.5,covered,40,over
MIN,2016,2016-09-11,9,11,1:05,TEN,1,1,Sun,W,L,25,16,9,-9,,-2.5,covered,40,over
NYG,2016,2016-10-23,10,23,9:31,LAR,7,7,Sun,W,L,17,10,7,-7,,-2.5,covered,44.5,under
NYJ,2016,2016-10-30,10,30,1:02,CLE,8,8,Sun,W,L,31,28,3,-3,,-2.5,covered,45.5,over
PIT,2016,2016-09-12,9,12,7:11,WAS,1,1,Mon,W,L,38,16,22,-22,,-2.5,covered,49,over
OAK,2016,2016-12-18,12,18,4:25,SDG,15,14,Sun,W,L,19,16,3,-3,,-2.5,covered,49.5,under
LAR,2016,2016-09-12,9,12,10:20,SFO,1,1,Mon,L,W,0,28,-28,28,,-2.5,not covered,43,under
BAL,2016,2016-09-25,9,25,1:02,JAX,3,3,Sun,W,L,19,17,2,-2,,-2.5,not covered,45,under
BAL,2016,2017-01-01,1,1,1:00,CIN,17,16,Sun,L,W,10,27,-17,17,,-2.5,not covered,40.5,under
SDG,2016,2016-11-27,11,27,1:00,HOU,12,11,Sun,W,L,21,13,8,-8,,-2.5,covered,45.5,under
ATL,2016,2016-12-24,12,24,1:00,CAR,16,15,Sat,W,L,33,16,17,-17,,-3,covered,49,push
CAR,2016,2016-09-08,9,8,8:40,DEN,1,1,Thu,L,W,20,21,-1,1,,-3,not covered,40.5,over
CAR,2016,2016-11-06,11,6,4:05,LAR,9,8,Sun,W,L,13,10,3,-3,,-3,push,44.5,under
DAL,2016,2016-12-01,12,1,8:25,MIN,13,12,Thu,W,L,17,15,2,-2,,-3,not covered,43.5,under
DEN,2016,2016-10-13,10,13,8:25,SDG,6,6,Thu,L,W,13,21,-8,8,,-3,not covered,44,under
DET,2016,2016-10-02,10,2,1:00,CHI,4,4,Sun,L,W,14,17,-3,3,,-3,not covered,48,under
GNB,2016,2016-11-13,11,13,1:00,TEN,10,9,Sun,L,W,25,47,-22,22,,-3,not covered,48.5,over
KAN,2016,2016-10-30,10,30,1:02,IND,8,7,Sun,W,L,30,14,16,-16,,-3,covered,50.5,under
MIN,2016,2016-10-23,10,23,1:02,PHI,7,6,Sun,L,W,10,21,-11,11,,-3,not covered,39,under
MIN,2016,2016-12-11,12,11,1:00,JAX,14,13,Sun,W,L,25,16,9,-9,,-3,covered,38,over
NWE,2016,2016-12-18,12,18,4:25,DEN,15,14,Sun,W,L,16,3,13,-13,,-3,covered,43,under
PHI,2016,2016-10-16,10,16,1:03,WAS,6,5,Sun,L,W,20,27,-7,7,,-3,not covered,45,over
PIT,2016,2016-12-18,12,18,1:00,CIN,15,14,Sun,W,L,24,20,4,-4,,-3,covered,45.5,under
SEA,2016,2016-12-11,12,11,4:25,GNB,14,13,Sun,L,W,10,38,-28,28,,-3,not covered,47,over
WAS,2016,2016-12-24,12,24,1:00,CHI,16,15,Sat,W,L,41,21,20,-20,,-3,covered,49,over
BUF,2016,2017-01-01,1,1,1:00,NYJ,17,16,Sun,L,W,10,30,-20,20,,-3.5,not covered,43,under
ARI,2016,2016-10-06,10,6,8:27,SFO,5,5,Thu,W,L,33,21,12,-12,,-3.5,covered,42.5,over
DAL,2016,2016-12-11,12,11,8:30,NYG,14,13,Sun,L,W,7,10,-3,3,,-3.5,not covered,47,under
DEN,2016,2016-10-02,10,2,4:05,TAM,4,4,Sun,W,L,27,7,20,-20,,-3.5,covered,43,under
DEN,2016,2016-12-04,12,4,1:00,JAX,13,12,Sun,W,L,20,10,10,-10,,-3.5,covered,38.5,under
GNB,2016,2016-09-11,9,11,1:04,JAX,1,1,Sun,W,L,27,23,4,-4,,-3.5,covered,47,over
GNB,2016,2017-01-01,1,1,8:30,DET,17,16,Sun,W,L,31,24,7,-7,,-3.5,covered,50,over
PHI,2016,2016-10-09,10,9,1:02,DET,5,4,Sun,L,W,23,24,-1,1,,-3.5,not covered,46,over
PIT,2016,2016-09-25,9,25,4:25,PHI,3,3,Sun,L,W,3,34,-31,31,,-3.5,not covered,46.5,under
PIT,2016,2016-11-06,11,6,1:00,BAL,9,8,Sun,L,W,14,21,-7,7,,-3.5,not covered,46,under
TEN,2016,2016-12-24,12,24,1:00,JAX,16,15,Sat,L,W,17,38,-21,21,,-4,not covered,44,over
BAL,2016,2016-09-18,9,18,1:02,CLE,2,2,Sun,W,L,25,20,5,-5,,-4,covered,42,over
ATL,2016,2016-11-03,11,3,8:25,TAM,9,9,Thu,W,L,43,28,15,-15,,-4.5,covered,49,over
ATL,2016,2016-12-11,12,11,4:25,LAR,14,13,Sun,W,L,42,14,28,-28,,-4.5,covered,44,over
CIN,2016,2016-12-11,12,11,1:00,CLE,14,13,Sun,W,L,23,10,13,-13,,-4.5,covered,42,under
GNB,2016,2016-12-18,12,18,1:00,CHI,15,14,Sun,W,L,30,27,3,-3,,-4.5,not covered,40,over
MIN,2016,2016-10-31,10,31,8:31,CHI,8,7,Mon,L,W,10,20,-10,10,,-4.5,not covered,39.5,under
SDG,2016,2016-12-24,12,24,1:00,CLE,16,15,Sat,L,W,17,20,-3,3,,-4.5,not covered,45,under
ARI,2016,2016-09-25,9,25,1:02,BUF,3,3,Sun,L,W,18,33,-15,15,,-5,not covered,48,over
NOR,2016,2016-11-06,11,6,4:05,SFO,9,8,Sun,W,L,41,23,18,-18,,-5,covered,53,over
SEA,2016,2016-11-27,11,27,4:05,TAM,12,11,Sun,L,W,5,14,-9,9,,-5,not covered,46,under
KAN,2016,2017-01-01,1,1,4:25,SDG,17,16,Sun,W,L,37,27,10,-10,,-5.5,covered,45,over
NWE,2016,2016-10-30,10,30,1:02,BUF,8,8,Sun,W,L,41,25,16,-16,,-5.5,covered,48,over
SEA,2016,2016-09-18,9,18,4:08,LAR,2,2,Sun,L,W,3,9,-6,6,,-5.5,not covered,38,under
