Team1,symbol,Team2,Year,Date,MonthNo,DayNum,Time,Week,Game,Weekday,Team1WL,Team1Pts,Team2Pts,Margin,OT,Spread,vsLine,OU,OU Result
OAK,@,CLE,2015,2015-09-27,9,27,1:02,3,3,Sun,W,27,20,7,,3.5,covered,42.5,over
OAK,@,SDG,2015,2015-10-25,10,25,4:05,7,6,Sun,W,37,29,8,,3.5,covered,47,over
BAL,@,CLE,2015,2015-11-30,11,30,8:30,12,11,Mon,W,33,27,6,,3.5,covered,41.5,over
BAL,@,MIA,2015,2015-12-06,12,6,1:03,13,12,Sun,L,13,15,-2,,3.5,covered,42.5,under
SDG,@,BAL,2015,2015-11-01,11,1,1:02,8,8,Sun,L,26,29,-3,,3.5,covered,51,over
WAS,@,NYG,2015,2015-09-24,9,24,8:26,3,3,Thu,L,21,32,-11,,3.5,not covered,44,over
WAS,@,CHI,2015,2015-12-13,12,13,1:02,14,13,Sun,W,24,21,3,,3.5,covered,43,over
WAS,@,DAL,2015,2016-01-03,1,3,1:03,17,16,Sun,W,34,23,11,,3.5,covered,39.5,over
ATL,@,JAX,2015,2015-12-20,12,20,1:02,15,14,Sun,W,23,17,6,,3,covered,49,under
CHI,@,DET,2015,2015-10-18,10,18,1:02,6,6,Sun,L,34,37,-3,OT,3,push,44,over
CHI,@,TAM,2015,2015-12-27,12,27,1:03,16,15,Sun,W,26,21,5,,3,covered,45,over
CIN,@,DEN,2015,2015-12-28,12,28,8:30,16,15,Mon,L,17,20,-3,OT,3,push,39.5,under
ARI,@,SEA,2015,2015-11-15,11,15,8:35,10,9,Sun,W,39,32,7,,3,covered,44.5,over
DAL,@,NOR,2015,2015-10-04,10,4,8:30,4,4,Sun,L,20,26,-6,OT,3,not covered,48,under
DAL,@,NYG,2015,2015-10-25,10,25,4:25,7,6,Sun,L,20,27,-7,,3,not covered,45,over
DEN,@,KAN,2015,2015-09-17,9,17,8:29,2,2,Thu,W,31,24,7,,3,covered,42,over
HOU,@,CAR,2015,2015-09-20,9,20,1:02,2,2,Sun,L,17,24,-7,,3,not covered,39.5,over
JAX,@,NOR,2015,2015-12-27,12,27,4:05,16,15,Sun,L,27,38,-11,,3,not covered,51.5,over
MIA,@,BUF,2015,2015-11-08,11,8,1:02,9,8,Sun,L,17,33,-16,,3,not covered,44,over
MIN,@,OAK,2015,2015-11-15,11,15,4:05,10,9,Sun,W,30,14,16,,3,covered,44,push
MIN,@,GNB,2015,2016-01-03,1,3,8:30,17,16,Sun,W,20,13,7,,3,covered,45.5,under
NOR,@,HOU,2015,2015-11-29,11,29,1:02,12,11,Sun,L,6,24,-18,,3,not covered,48,under
NYG,@,NOR,2015,2015-11-01,11,1,1:02,8,8,Sun,L,49,52,-3,,3,push,49.5,over
TEN,@,TAM,2015,2015-09-13,9,13,4:25,1,1,Sun,W,42,14,28,,3,covered,41,over
PHI,@,CAR,2015,2015-10-25,10,25,8:31,7,7,Sun,L,16,27,-11,,3,not covered,45,under
PIT,@,KAN,2015,2015-10-25,10,25,1:03,7,7,Sun,L,13,23,-10,,3,not covered,43,under
SDG,@,CIN,2015,2015-09-20,9,20,1:03,2,2,Sun,L,19,24,-5,,3,not covered,47,under
SEA,@,GNB,2015,2015-09-20,9,20,8:25,2,2,Sun,L,17,27,-10,,3,not covered,49,under
SEA,@,CIN,2015,2015-10-11,10,11,1:03,5,5,Sun,L,24,27,-3,OT,3,push,43.5,over
TAM,@,WAS,2015,2015-10-25,10,25,1:04,7,6,Sun,L,30,31,-1,,3,covered,42.5,over
TAM,@,IND,2015,2015-11-29,11,29,1:02,12,11,Sun,L,12,25,-13,,3,not covered,46,under
WAS,@,PHI,2015,2015-12-26,12,26,8:26,16,15,Sat,W,38,24,14,,3,covered,48,over
ATL,@,NYG,2015,2015-09-20,9,20,1:02,2,2,Sun,W,24,20,4,,2.5,covered,51,under
BUF,@,MIA,2015,2015-09-27,9,27,4:25,3,3,Sun,W,41,14,27,,2.5,covered,41.5,over
BUF,@,NYJ,2015,2015-11-12,11,12,8:26,10,9,Thu,W,22,17,5,,2.5,covered,42.5,under
CIN,@,BAL,2015,2015-09-27,9,27,1:02,3,3,Sun,W,28,24,4,,2.5,covered,44.5,over
CHI,@,SEA,2015,2015-09-27,9,27,4:26,3,3,Sun,L,0,26,-26,,14.5,not covered,43.5,under
CLE,@,SEA,2015,2015-12-20,12,20,4:06,15,14,Sun,L,13,30,-17,,14,not covered,43,push
TEN,@,NWE,2015,2015-12-20,12,20,1:02,15,14,Sun,L,16,33,-17,,14,not covered,46.5,over
WAS,@,NWE,2015,2015-11-08,11,8,1:02,9,8,Sun,L,10,27,-17,,14,not covered,52,under
JAX,@,NWE,2015,2015-09-27,9,27,1:06,3,3,Sun,L,17,51,-34,,13.5,not covered,49,over
SFO,@,SEA,2015,2015-11-22,11,22,4:27,11,10,Sun,L,13,29,-16,,13.5,not covered,40,over
STL,@,SEA,2015,2015-12-27,12,27,4:26,16,15,Sun,W,23,17,6,,12,covered,40,push
CLE,@,CIN,2015,2015-11-05,11,5,8:25,9,9,Thu,L,10,31,-21,,11,not covered,45,under
CLE,@,KAN,2015,2015-12-27,12,27,1:03,16,15,Sun,L,13,17,-4,,10.5,covered,42.5,under
DET,@,GNB,2015,2015-11-15,11,15,1:04,10,9,Sun,W,18,16,2,,10.5,covered,49.5,under
HOU,@,CIN,2015,2015-11-16,11,16,8:30,10,9,Mon,W,10,6,4,,10.5,covered,47,under
SDG,@,GNB,2015,2015-10-18,10,18,4:25,6,6,Sun,L,20,27,-7,,10.5,covered,51,under
SDG,@,KAN,2015,2015-12-13,12,13,1:03,14,13,Sun,L,3,10,-7,,10.5,covered,44,under
SDG,@,DEN,2015,2016-01-03,1,3,4:25,17,16,Sun,L,20,27,-7,,10,covered,41.5,over
TAM,@,NOR,2015,2015-09-20,9,20,1:02,2,2,Sun,W,26,19,7,,10,covered,47.5,under
TAM,@,CAR,2015,2016-01-03,1,3,4:25,17,16,Sun,L,10,38,-28,,10,not covered,46,over
DET,@,SEA,2015,2015-10-05,10,5,8:31,4,4,Mon,L,10,13,-3,,9.5,covered,43,under
JAX,@,IND,2015,2015-10-04,10,4,1:02,4,4,Sun,L,13,16,-3,OT,9.5,covered,48,under
NOR,@,CAR,2015,2015-09-27,9,27,1:03,3,3,Sun,L,22,27,-5,,9.5,covered,43.5,over
BAL,@,CIN,2015,2016-01-03,1,3,1:02,17,16,Sun,L,16,24,-8,,9.5,covered,41.5,under
SFO,@,DET,2015,2015-12-27,12,27,1:03,16,15,Sun,L,17,32,-15,,9.5,not covered,42,over
CHI,@,KAN,2015,2015-10-11,10,11,1:02,5,5,Sun,W,18,17,1,,9,covered,45,under
STL,@,GNB,2015,2015-10-11,10,11,1:02,5,5,Sun,L,10,24,-14,,9,not covered,45.5,under
CHI,@,GNB,2015,2015-11-26,11,26,8:30,12,11,Thu,W,17,13,4,,8.5,covered,44.5,under
MIN,@,ARI,2015,2015-12-10,12,10,8:25,14,13,Thu,L,20,23,-3,,8.5,covered,46.5,under
STL,@,CIN,2015,2015-11-29,11,29,1:02,12,11,Sun,L,7,31,-24,,8.5,not covered,42,under
JAX,@,NYJ,2015,2015-11-08,11,8,1:02,9,8,Sun,L,23,28,-5,,8,covered,42,over
PHI,@,NWE,2015,2015-12-06,12,6,4:25,13,12,Sun,W,35,28,7,,8,covered,49,over
BAL,@,ARI,2015,2015-10-26,10,26,8:30,7,7,Mon,L,18,26,-8,,8,push,49,under
ATL,@,CAR,2015,2015-12-13,12,13,1:03,14,13,Sun,L,0,38,-38,,7.5,not covered,46.5,under
IND,@,PIT,2015,2015-12-06,12,6,8:30,13,12,Sun,L,10,45,-35,,7.5,not covered,49,over
MIA,@,NWE,2015,2015-10-29,10,29,8:26,8,7,Thu,L,7,36,-29,,7.5,not covered,50.5,under
NYJ,@,NWE,2015,2015-10-25,10,25,1:02,7,6,Sun,L,23,30,-7,,7.5,covered,47.5,over
TEN,@,NOR,2015,2015-11-08,11,8,1:02,9,8,Sun,W,34,28,6,OT,7.5,covered,48,over
SFO,@,STL,2015,2015-11-01,11,1,1:00,8,8,Sun,L,6,27,-21,,7.5,not covered,39.5,under
BUF,@,NWE,2015,2015-11-23,11,23,8:30,11,10,Mon,L,13,20,-7,,7,push,48,under
CAR,@,SEA,2015,2015-10-18,10,18,4:06,6,5,Sun,W,27,23,4,,7,covered,40.5,over
CLE,@,SDG,2015,2015-10-04,10,4,4:05,4,4,Sun,L,27,30,-3,,7,covered,44.5,over
MIN,@,DEN,2015,2015-10-04,10,4,4:25,4,4,Sun,L,20,23,-3,,7,covered,42.5,over
NYG,@,MIN,2015,2015-12-27,12,27,8:30,16,15,Sun,L,17,49,-32,,7,not covered,44.5,over
NYJ,@,IND,2015,2015-09-21,9,21,8:30,2,2,Mon,W,20,7,13,,7,covered,46.5,under
TEN,@,NYJ,2015,2015-12-13,12,13,1:02,14,13,Sun,L,8,30,-22,,7,not covered,43,under
PIT,@,NWE,2015,2015-09-10,9,10,8:40,1,1,Thu,L,21,28,-7,,7,push,52,under
OAK,@,KAN,2015,2016-01-03,1,3,4:26,17,16,Sun,L,17,23,-6,,7,covered,43,under
STL,@,ARI,2015,2015-10-04,10,4,4:25,4,4,Sun,W,24,22,2,,7,covered,44,over
TAM,@,ATL,2015,2015-11-01,11,1,1:02,8,7,Sun,W,23,20,3,OT,7,covered,48.5,under
WAS,@,ATL,2015,2015-10-11,10,11,1:02,5,5,Sun,L,19,25,-6,OT,7,covered,48,under
WAS,@,NYJ,2015,2015-10-18,10,18,1:02,6,6,Sun,L,20,34,-14,,7,not covered,40.5,over
WAS,@,CAR,2015,2015-11-22,11,22,1:02,11,10,Sun,L,16,44,-28,,7,not covered,44.5,over
CHI,@,STL,2015,2015-11-15,11,15,1:00,10,9,Sun,W,37,13,24,,6.5,covered,42.5,over
CLE,@,STL,2015,2015-10-25,10,25,1:00,7,7,Sun,L,6,24,-18,,6.5,not covered,41.5,under
IND,@,CAR,2015,2015-11-02,11,2,8:30,8,8,Mon,L,26,29,-3,OT,6.5,covered,46.5,over
DAL,@,GNB,2015,2015-12-13,12,13,4:25,14,13,Sun,L,7,28,-21,,6.5,not covered,42.5,under
DAL,@,BUF,2015,2015-12-27,12,27,1:02,16,15,Sun,L,6,16,-10,,6.5,not covered,42,under
JAX,@,HOU,2015,2016-01-03,1,3,1:02,17,16,Sun,L,6,30,-24,,6.5,not covered,45.5,under
OAK,@,DEN,2015,2015-12-13,12,13,4:05,14,13,Sun,W,15,12,3,,6.5,covered,43.5,under
SEA,@,ARI,2015,2016-01-03,1,3,4:25,17,16,Sun,W,36,6,30,,6.5,covered,47,under
SFO,@,PIT,2015,2015-09-20,9,20,1:02,2,2,Sun,L,18,43,-25,,6.5,not covered,45.5,over
SFO,@,ARI,2015,2015-09-27,9,27,4:05,3,3,Sun,L,7,47,-40,,6.5,not covered,45,over
SFO,@,NYG,2015,2015-10-11,10,11,8:31,5,5,Sun,L,27,30,-3,,6.5,covered,43,over
SFO,@,CHI,2015,2015-12-06,12,6,1:02,13,12,Sun,W,26,20,6,OT,6.5,covered,43.5,over
TAM,@,HOU,2015,2015-09-27,9,27,1:03,3,3,Sun,L,9,19,-10,,6.5,not covered,40.5,under
CLE,@,BAL,2015,2015-10-11,10,11,1:02,5,5,Sun,W,33,30,3,OT,6,covered,42.5,over
CLE,@,PIT,2015,2015-11-15,11,15,1:04,10,10,Sun,L,9,30,-21,,6,not covered,41.5,under
DEN,@,PIT,2015,2015-12-20,12,20,4:25,15,14,Sun,L,27,34,-7,,6,not covered,45,over
HOU,@,ATL,2015,2015-10-04,10,4,1:02,4,4,Sun,L,21,48,-27,,6,not covered,47,over
KAN,@,GNB,2015,2015-09-28,9,28,8:30,3,3,Mon,L,28,38,-10,,6,not covered,49,over
MIA,@,PHI,2015,2015-11-15,11,15,1:05,10,9,Sun,W,20,19,1,,6,covered,49.5,under
NOR,@,PHI,2015,2015-10-11,10,11,1:04,5,5,Sun,L,17,39,-22,,6,not covered,49.5,over
NYG,@,DAL,2015,2015-09-13,9,13,8:31,1,1,Sun,L,26,27,-1,,6,covered,51.5,over
SDG,@,OAK,2015,2015-12-24,12,24,8:26,16,15,Thu,L,20,23,-3,OT,6,covered,46.5,under
TAM,@,PHI,2015,2015-11-22,11,22,1:02,11,10,Sun,W,45,17,28,,6,covered,44.5,over
BUF,@,KAN,2015,2015-11-29,11,29,1:03,12,11,Sun,L,22,30,-8,,5.5,not covered,41.5,over
CHI,@,MIN,2015,2015-12-20,12,20,1:02,15,14,Sun,L,17,38,-21,,5.5,not covered,43,over
NOR,@,ATL,2015,2016-01-03,1,3,1:02,17,16,Sun,W,20,17,3,,5.5,covered,52.5,under
NYG,@,BUF,2015,2015-10-04,10,4,1:02,4,4,Sun,W,24,10,14,,5.5,covered,45.5,under
DAL,@,PHI,2015,2015-09-20,9,20,4:25,2,2,Sun,W,20,10,10,,5,covered,55,under
JAX,@,BAL,2015,2015-11-15,11,15,1:05,10,9,Sun,W,22,20,2,,5,covered,47.5,under
NYJ,@,NWE,2016,2016-12-24,12,24,1:00,16,15,Sat,L,3,41,-38,,17,not covered,45,under
LAR,@,SEA,2016,2016-12-15,12,15,8:25,15,14,Thu,L,3,24,-21,,15,not covered,39.5,under
SFO,@,ARI,2016,2016-11-13,11,13,4:25,10,9,Sun,L,20,23,-3,,13.5,covered,46.5,under
SFO,@,ATL,2016,2016-12-18,12,18,4:05,15,14,Sun,L,13,41,-28,,13.5,not covered,51.5,over
LAR,@,NWE,2016,2016-12-04,12,4,1:00,13,12,Sun,L,10,26,-16,,13,not covered,44.5,under
SFO,@,CAR,2016,2016-09-18,9,18,1:03,2,2,Sun,L,27,46,-19,,12,not covered,44.5,over
CLE,@,CIN,2016,2016-10-23,10,23,1:02,7,7,Sun,L,17,31,-14,,11,not covered,46.5,over
CLE,@,BUF,2016,2016-12-18,12,18,1:00,15,14,Sun,L,13,33,-20,,10.5,not covered,43,over
MIA,@,SEA,2016,2016-09-11,9,11,4:08,1,1,Sun,L,10,12,-2,,10.5,covered,43.5,under
SFO,@,SEA,2016,2016-09-25,9,25,4:05,3,3,Sun,L,18,37,-19,,10.5,not covered,42,over
CLE,@,MIA,2016,2016-09-25,9,25,1:02,3,3,Sun,L,24,30,-6,OT,10,covered,42,over
NYJ,@,PIT,2016,2016-10-09,10,9,1:02,5,5,Sun,L,13,31,-18,,10,not covered,50,under
LAR,@,ARI,2016,2016-10-02,10,2,4:25,4,4,Sun,W,17,13,4,,10,covered,43.5,under
ARI,@,SEA,2016,2016-12-24,12,24,4:25,16,15,Sat,W,34,31,3,,9,covered,43.5,over
NWE,@,ARI,2016,2016-09-11,9,11,8:30,1,1,Sun,W,23,21,2,,9,covered,44.5,under
NYG,@,WAS,2016,2017-01-01,1,1,4:25,17,16,Sun,W,19,10,9,,9,covered,47.5,under
HOU,@,DEN,2016,2016-10-24,10,24,8:30,7,7,Mon,L,9,27,-18,,8.5,not covered,40,under
JAX,@,BUF,2016,2016-11-27,11,27,1:00,12,11,Sun,L,21,28,-7,,8.5,covered,43.5,over
CAR,@,SEA,2016,2016-12-04,12,4,8:30,13,12,Sun,L,7,40,-33,,8,not covered,43.5,over
LAR,@,NOR,2016,2016-11-27,11,27,1:00,12,11,Sun,L,21,49,-28,,8,not covered,45,over
CHI,@,GNB,2016,2016-10-20,10,20,8:26,7,7,Thu,L,10,26,-16,,7.5,not covered,46.5,under
CHI,@,DET,2016,2016-12-11,12,11,1:00,14,13,Sun,L,17,20,-3,,7.5,covered,42,under
CIN,@,NWE,2016,2016-10-16,10,16,1:02,6,6,Sun,L,17,35,-18,,7.5,not covered,48,over
CLE,@,WAS,2016,2016-10-02,10,2,1:05,4,4,Sun,L,20,31,-11,,7.5,not covered,48,over
CLE,@,TEN,2016,2016-10-16,10,16,1:02,6,6,Sun,L,26,28,-2,,7.5,covered,44.5,over
CLE,@,BAL,2016,2016-11-10,11,10,8:25,10,10,Thu,L,7,28,-21,,7.5,not covered,44,under
IND,@,GNB,2016,2016-11-06,11,6,4:25,9,9,Sun,W,31,26,5,,7.5,covered,52,over
MIA,@,CIN,2016,2016-09-29,9,29,8:26,4,4,Thu,L,7,22,-15,,7.5,not covered,46,under
NOR,@,ATL,2016,2017-01-01,1,1,4:25,17,16,Sun,L,32,38,-6,,7.5,covered,58.5,over
SEA,@,NWE,2016,2016-11-13,11,13,8:30,10,9,Sun,W,31,24,7,,7.5,covered,49.5,over
SFO,@,BUF,2016,2016-10-16,10,16,1:02,6,6,Sun,L,16,45,-29,,7.5,not covered,44,over
SFO,@,MIA,2016,2016-11-27,11,27,1:00,12,11,Sun,L,24,31,-7,,7.5,covered,44.5,over
TAM,@,ARI,2016,2016-09-18,9,18,1:05,2,2,Sun,L,7,40,-33,,7.5,not covered,49.5,under
ATL,@,SEA,2016,2016-10-16,10,16,4:26,6,6,Sun,L,24,26,-2,,7,covered,45.5,over
CAR,@,WAS,2016,2016-12-19,12,19,8:30,15,14,Mon,W,26,15,11,,7,covered,50.5,under
CHI,@,NYG,2016,2016-11-20,11,20,1:00,11,10,Sun,L,16,22,-6,,7,covered,41.5,under
JAX,@,KAN,2016,2016-11-06,11,6,1:00,9,8,Sun,L,14,19,-5,,7,covered,42.5,under
NOR,@,KAN,2016,2016-10-23,10,23,1:03,7,6,Sun,L,21,27,-6,,7,covered,51.5,under
NYG,@,GNB,2016,2016-10-09,10,9,8:30,5,5,Sun,L,16,23,-7,,7,push,49,under
NYJ,@,ARI,2016,2016-10-17,10,17,8:30,6,6,Mon,L,3,28,-25,,7,not covered,45.5,under
BAL,@,DAL,2016,2016-11-20,11,20,1:00,11,10,Sun,L,17,27,-10,,7,not covered,44.5,under
TAM,@,KAN,2016,2016-11-20,11,20,1:00,11,10,Sun,W,19,17,2,,7,covered,45,under
TAM,@,DAL,2016,2016-12-18,12,18,8:30,15,14,Sun,L,20,26,-6,,7,covered,47.5,under
CHI,@,DAL,2016,2016-09-25,9,25,8:31,3,3,Sun,L,17,31,-14,,6.5,not covered,44.5,over
DAL,@,PHI,2016,2017-01-01,1,1,1:00,17,16,Sun,L,13,27,-14,,6.5,not covered,44,under
DET,@,NOR,2016,2016-12-04,12,4,1:00,13,12,Sun,W,28,13,15,,6.5,covered,53,under
DET,@,DAL,2016,2016-12-26,12,26,8:30,16,15,Mon,L,21,42,-21,,6.5,not covered,46.5,over
HOU,@,OAK,2016,2016-11-21,11,21,8:30,11,10,Mon,L,20,27,-7,,6.5,not covered,45.5,over
HOU,@,GNB,2016,2016-12-04,12,4,1:00,13,12,Sun,L,13,21,-8,,6.5,not covered,44.5,under
HOU,@,IND,2016,2016-12-11,12,11,1:00,14,13,Sun,W,22,17,5,,6.5,covered,47.5,under
NYG,@,PIT,2016,2016-12-04,12,4,4:25,13,12,Sun,L,14,24,-10,,6.5,not covered,49.5,under
PHI,@,SEA,2016,2016-11-20,11,20,4:25,11,10,Sun,L,15,26,-11,,6.5,not covered,42.5,under
SDG,@,KAN,2016,2016-09-11,9,11,1:05,1,1,Sun,L,27,33,-6,OT,6.5,covered,45.5,over
CHI,@,MIN,2016,2017-01-01,1,1,1:00,17,16,Sun,L,10,38,-28,,6,not covered,44,over
IND,@,DEN,2016,2016-09-18,9,18,4:25,2,2,Sun,L,20,34,-14,,6,not covered,47,over
DET,@,GNB,2016,2016-09-25,9,25,1:02,3,3,Sun,L,27,34,-7,,6,not covered,47.5,over
HOU,@,MIN,2016,2016-10-09,10,9,1:05,5,5,Sun,L,13,31,-18,,6,not covered,39,over
MIN,@,CAR,2016,2016-09-25,9,25,1:02,3,3,Sun,W,22,10,12,,6,covered,43,under
MIN,@,GNB,2016,2016-12-24,12,24,1:00,16,15,Sat,L,25,38,-13,,6,not covered,44.5,over
TEN,@,DET,2016,2016-09-18,9,18,1:02,2,2,Sun,W,16,15,1,,6,covered,48,under
TEN,@,KAN,2016,2016-12-18,12,18,1:00,15,14,Sun,W,19,17,2,,6,covered,43,under
BAL,@,NWE,2016,2016-12-12,12,12,8:30,14,13,Mon,L,23,30,-7,,6,not covered,45,over
SFO,@,LAR,2016,2016-12-24,12,24,4:25,16,15,Sat,W,22,21,1,,6,covered,39.5,over
TAM,@,CAR,2016,2016-10-10,10,10,8:04,5,5,Mon,W,17,14,3,,6,covered,46.5,under
BUF,@,SEA,2016,2016-11-07,11,7,8:30,9,9,Mon,L,25,31,-6,,5.5,not covered,43.5,over
CHI,@,HOU,2016,2016-09-11,9,11,1:05,1,1,Sun,L,14,23,-9,,5.5,not covered,43,under
JAX,@,DET,2016,2016-11-20,11,20,1:00,11,10,Sun,L,19,26,-7,,5.5,not covered,47,under
JAX,@,IND,2016,2017-01-01,1,1,1:00,17,16,Sun,L,20,24,-4,,5.5,covered,48.5,under
MIA,@,NWE,2016,2016-09-18,9,18,1:02,2,2,Sun,L,24,31,-7,,5.5,not covered,42,over
BAL,@,PIT,2016,2016-12-25,12,25,4:30,16,15,Sun,L,27,31,-4,,5.5,covered,46.5,over
WAS,@,DAL,2016,2016-11-24,11,24,4:30,12,11,Thu,L,26,31,-5,,5.5,covered,53,over
IND,@,MIN,2016,2016-12-18,12,18,1:00,15,14,Sun,W,34,6,28,,5,covered,44.5,under
DAL,@,GNB,2016,2016-10-16,10,16,4:25,6,6,Sun,W,30,16,14,,5,covered,47,under
KAN,@,ATL,2016,2016-12-04,12,4,1:00,13,12,Sun,W,29,28,1,,5,covered,50,over
PHI,@,DAL,2016,2016-10-30,10,30,8:31,8,7,Sun,L,23,29,-6,OT,5,not covered,44,over
PHI,@,BAL,2016,2016-12-18,12,18,1:00,15,14,Sun,L,26,27,-1,,5,covered,41,over
DET,@,MIN,2016,2016-11-06,11,6,1:00,9,9,Sun,W,22,16,6,OT,4.5,covered,42.5,under
MIA,@,BUF,2016,2016-12-24,12,24,1:00,16,15,Sat,W,34,31,3,OT,4.5,covered,44.5,over
SDG,@,ATL,2016,2016-10-23,10,23,4:05,7,7,Sun,W,33,30,3,OT,4.5,covered,52.5,over
ATL,@,OAK,2016,2016-09-18,9,18,4:25,2,2,Sun,W,35,28,7,,4,covered,47.5,over
CHI,@,IND,2016,2016-10-09,10,9,1:02,5,5,Sun,L,23,29,-6,,4,not covered,47.5,over
CLE,@,PHI,2016,2016-09-11,9,11,1:05,1,1,Sun,L,10,29,-19,,4,not covered,41.5,under
IND,@,TEN,2016,2016-10-23,10,23,1:02,7,7,Sun,W,34,26,8,,4,covered,48,over
ARI,@,ATL,2016,2016-11-27,11,27,1:00,12,11,Sun,L,19,38,-19,,4,not covered,49,over
DET,@,NYG,2016,2016-12-18,12,18,1:00,15,14,Sun,L,6,17,-11,,4,not covered,42.5,under
GNB,@,PHI,2016,2016-11-28,11,28,8:30,12,11,Mon,W,27,13,14,,4,covered,47,under
MIA,@,SDG,2016,2016-11-13,11,13,4:05,10,9,Sun,W,31,24,7,,4,covered,48.5,over
TEN,@,HOU,2016,2016-10-02,10,2,1:02,4,4,Sun,L,20,27,-7,,4,not covered,40,over
WAS,@,BAL,2016,2016-10-09,10,9,1:03,5,5,Sun,W,16,10,6,,4,covered,44.5,under
ATL,@,DEN,2016,2016-10-09,10,9,4:05,5,5,Sun,W,23,16,7,,3.5,covered,44.5,under
BUF,@,NWE,2016,2016-10-02,10,2,1:02,4,4,Sun,W,16,0,16,,3.5,covered,41,under
CAR,@,OAK,2016,2016-11-27,11,27,4:25,12,11,Sun,L,32,35,-3,,3.5,covered,48.5,over
CIN,@,BAL,2016,2016-11-27,11,27,1:00,12,11,Sun,L,14,19,-5,,3.5,not covered,41.5,under
IND,@,OAK,2016,2016-12-24,12,24,4:05,16,15,Sat,L,25,33,-8,,3.5,not covered,52,over
DAL,@,WAS,2016,2016-09-18,9,18,1:03,2,2,Sun,W,27,23,4,,3.5,covered,47,over
DEN,@,CIN,2016,2016-09-25,9,25,1:02,3,3,Sun,W,29,17,12,,3.5,covered,42,over
DEN,@,KAN,2016,2016-12-25,12,25,8:30,16,15,Sun,L,10,33,-23,,3.5,not covered,38,over
JAX,@,HOU,2016,2016-12-18,12,18,1:00,15,14,Sun,L,20,21,-1,,3.5,covered,39.5,over
KAN,@,DEN,2016,2016-11-27,11,27,8:30,12,11,Sun,W,30,27,3,OT,3.5,covered,40,over
MIA,@,BAL,2016,2016-12-04,12,4,1:00,13,12,Sun,L,6,38,-32,,3.5,not covered,41.5,over
NOR,@,NYG,2016,2016-09-18,9,18,1:03,2,2,Sun,L,13,16,-3,,3.5,covered,54,under
NOR,@,SDG,2016,2016-10-02,10,2,4:25,4,4,Sun,W,35,34,1,,3.5,covered,54,over
NOR,@,CAR,2016,2016-11-17,11,17,8:25,11,10,Thu,L,20,23,-3,,3.5,covered,52.5,under
NYG,@,MIN,2016,2016-10-03,10,3,8:35,4,4,Mon,L,10,24,-14,,3.5,not covered,42.5,under
NYJ,@,MIA,2016,2016-11-06,11,6,1:00,9,9,Sun,L,23,27,-4,,3.5,not covered,45,over
TEN,@,SDG,2016,2016-11-06,11,6,4:25,9,9,Sun,L,35,43,-8,,3.5,not covered,47.5,over
OAK,@,BAL,2016,2016-10-02,10,2,1:02,4,4,Sun,W,28,27,1,,3.5,covered,45,over
OAK,@,KAN,2016,2016-12-08,12,8,8:25,14,13,Thu,L,13,21,-8,,3.5,not covered,46,under
LAR,@,TAM,2016,2016-09-25,9,25,4:05,3,3,Sun,W,37,32,5,,3.5,covered,40.5,over
BAL,@,NYG,2016,2016-10-16,10,16,1:02,6,6,Sun,L,23,27,-4,,3.5,not covered,42.5,over
SDG,@,OAK,2016,2016-10-09,10,9,4:25,5,5,Sun,L,31,34,-3,,3.5,covered,50.5,over
SDG,@,DEN,2016,2016-10-30,10,30,4:05,8,8,Sun,L,19,27,-8,,3.5,not covered,43,over
TAM,@,SDG,2016,2016-12-04,12,4,4:25,13,12,Sun,W,28,21,7,,3.5,covered,49,push
WAS,@,NYG,2016,2016-09-25,9,25,1:02,3,3,Sun,W,29,27,2,,3.5,covered,47,over
BUF,@,BAL,2016,2016-09-11,9,11,1:04,1,1,Sun,L,7,13,-6,,3,not covered,44.5,under
BUF,@,OAK,2016,2016-12-04,12,4,4:05,13,12,Sun,L,24,38,-14,,3,not covered,48.5,over
CAR,@,TAM,2016,2017-01-01,1,1,1:00,17,16,Sun,L,16,17,-1,,3,covered,44.5,under
CIN,@,PIT,2016,2016-09-18,9,18,1:02,2,2,Sun,L,16,24,-8,,3,not covered,48,under
CIN,@,HOU,2016,2016-12-24,12,24,8:25,16,15,Sat,L,10,12,-2,,3,covered,41.5,under
CLE,@,PIT,2016,2017-01-01,1,1,1:00,17,16,Sun,L,24,27,-3,OT,3,push,41.5,over
IND,@,HOU,2016,2016-10-16,10,16,8:32,6,6,Sun,L,23,26,-3,OT,3,push,47.5,over
DAL,@,PIT,2016,2016-11-13,11,13,4:25,10,9,Sun,W,35,30,5,,3,covered,50.5,over
DEN,@,NOR,2016,2016-11-13,11,13,1:00,10,10,Sun,W,25,23,2,,3,covered,50,under
GNB,@,ATL,2016,2016-10-30,10,30,4:25,8,7,Sun,L,32,33,-1,,3,covered,51,over
GNB,@,WAS,2016,2016-11-20,11,20,8:30,11,10,Sun,L,24,42,-18,,3,not covered,48,over
HOU,@,JAX,2016,2016-11-13,11,13,1:00,10,9,Sun,W,24,21,3,,3,covered,42,over
HOU,@,TEN,2016,2017-01-01,1,1,1:00,17,16,Sun,L,17,24,-7,,3,not covered,41.5,under
JAX,@,SDG,2016,2016-09-18,9,18,4:25,2,2,Sun,L,14,38,-24,,3,not covered,47.5,over
JAX,@,TEN,2016,2016-10-27,10,27,8:26,8,7,Thu,L,22,36,-14,,3,not covered,43.5,over
