Team1,symbol,Team2,Year,Date,MonthNo,DayNum,Time,Week,Game,Weekday,Team1WL,Team1Pts,Team2Pts,Margin,OT,Spread,vsLine,OU,OU Result
NYG,@,SDG,2013,2013-12-08,12,8,4:25,14,13,Sun,L,14,37,-23,,4,not covered,47,over
WAS,@,PHI,2013,2013-11-17,11,17,1:02,11,10,Sun,L,16,24,-8,,4,not covered,54.5,under
ATL,@,NOR,2013,2013-09-08,9,8,1:03,1,1,Sun,L,17,23,-6,,3.5,not covered,54.5,under
ATL,@,GNB,2013,2013-12-08,12,8,1:02,14,13,Sun,L,21,22,-1,,3.5,covered,47,under
ARI,@,STL,2013,2013-09-08,9,8,4:23,1,1,Sun,L,24,27,-3,,3.5,covered,41.5,over
ARI,@,PHI,2013,2013-12-01,12,1,1:02,13,12,Sun,L,21,24,-3,,3.5,covered,48,under
HOU,@,ARI,2013,2013-11-10,11,10,4:25,10,9,Sun,L,24,27,-3,,3.5,covered,41.5,over
KAN,@,PHI,2013,2013-09-19,9,19,8:29,3,3,Thu,W,26,16,10,,3.5,covered,50,under
MIN,@,NYG,2013,2013-10-21,10,21,8:40,7,6,Mon,L,7,23,-16,,3.5,not covered,47.5,under
NYG,@,DAL,2013,2013-09-08,9,8,8:30,1,1,Sun,L,31,36,-5,,3.5,not covered,49.5,over
NYJ,@,TEN,2013,2013-09-29,9,29,4:05,4,4,Sun,L,13,38,-25,,3.5,not covered,40.5,over
NYJ,@,BAL,2013,2013-11-24,11,24,1:02,12,11,Sun,L,3,19,-16,,3.5,not covered,38,under
TEN,@,IND,2013,2013-12-01,12,1,1:02,13,12,Sun,L,14,22,-8,,3.5,not covered,46,under
STL,@,DAL,2013,2013-09-22,9,22,1:02,3,3,Sun,L,7,31,-24,,3.5,not covered,47.5,under
BAL,@,CHI,2013,2013-11-17,11,17,1:02,11,10,Sun,L,20,23,-3,OT,3.5,covered,40.5,over
SFO,@,NOR,2013,2013-11-17,11,17,4:25,11,10,Sun,L,20,23,-3,,3.5,covered,50,under
TAM,@,STL,2013,2013-12-22,12,22,1:00,16,15,Sun,L,13,23,-10,,3.5,not covered,43,under
WAS,@,NYG,2013,2013-12-29,12,29,1:04,17,16,Sun,L,6,20,-14,,3.5,not covered,44,under
ATL,@,ARI,2013,2013-10-27,10,27,4:25,8,7,Sun,L,13,27,-14,,3,not covered,44.5,under
CAR,@,NOR,2013,2013-12-08,12,8,8:30,14,13,Sun,L,13,31,-18,,3,not covered,47,under
CHI,@,PHI,2013,2013-12-22,12,22,8:30,16,15,Sun,L,11,54,-43,,3,not covered,53.5,over
CIN,@,CHI,2013,2013-09-08,9,8,1:02,1,1,Sun,L,21,24,-3,,3,push,41.5,over
IND,@,ARI,2013,2013-11-24,11,24,4:05,12,11,Sun,L,11,40,-29,,3,not covered,44.5,over
DAL,@,KAN,2013,2013-09-15,9,15,1:02,2,2,Sun,L,16,17,-1,,3,covered,45,under
DAL,@,DET,2013,2013-10-27,10,27,1:03,8,8,Sun,L,30,31,-1,,3,covered,51,over
GNB,@,NYG,2013,2013-11-17,11,17,4:25,11,10,Sun,L,13,27,-14,,3,not covered,41,under
MIA,@,IND,2013,2013-09-15,9,15,1:02,2,2,Sun,W,24,20,4,,3,covered,43.5,over
MIA,@,PIT,2013,2013-12-08,12,8,1:02,14,13,Sun,W,34,28,6,,3,covered,40.5,over
NOR,@,CAR,2013,2013-12-22,12,22,1:04,16,15,Sun,L,13,17,-4,,3,not covered,44.5,under
NWE,@,ATL,2013,2013-09-29,9,29,8:30,4,4,Sun,W,30,23,7,,3,covered,49,over
NWE,@,CAR,2013,2013-11-18,11,18,8:42,11,10,Mon,L,20,24,-4,,3,not covered,46.5,under
PIT,@,BAL,2013,2013-11-28,11,28,8:31,13,12,Thu,L,20,22,-2,,3,covered,39.5,over
OAK,@,NYJ,2013,2013-12-08,12,8,1:02,14,13,Sun,L,27,37,-10,,3,not covered,39,over
SDG,@,TEN,2013,2013-09-22,9,22,1:03,3,3,Sun,L,17,20,-3,,3,push,43,under
SDG,@,KAN,2013,2013-11-24,11,24,1:03,12,11,Sun,W,41,38,3,,3,covered,43,over
SFO,@,ARI,2013,2013-12-29,12,29,4:25,17,16,Sun,W,23,20,3,,3,covered,41,over
ATL,@,MIA,2013,2013-09-22,9,22,4:05,3,3,Sun,L,23,27,-4,,2.5,not covered,45.5,over
BUF,@,NYJ,2013,2013-09-22,9,22,4:25,3,3,Sun,L,20,27,-7,,2.5,not covered,41,over
BUF,@,PIT,2013,2013-11-10,11,10,1:02,10,10,Sun,L,10,23,-13,,2.5,not covered,42.5,under
BUF,@,TAM,2013,2013-12-08,12,8,1:02,14,13,Sun,L,6,27,-21,,2.5,not covered,42.5,under
CAR,@,MIN,2013,2013-10-13,10,13,1:05,6,5,Sun,W,35,10,25,,2.5,covered,44.5,over
CHI,@,DET,2013,2013-09-29,9,29,1:03,4,4,Sun,L,32,40,-8,,2.5,not covered,48,over
JAX,@,DEN,2013,2013-10-13,10,13,4:05,6,6,Sun,L,19,35,-16,,26.5,covered,53,over
JAX,@,SEA,2013,2013-09-22,9,22,4:26,3,3,Sun,L,17,45,-28,,20,not covered,39,over
OAK,@,DEN,2013,2013-09-23,9,23,8:40,3,3,Mon,L,21,37,-16,,16.5,covered,48.5,over
ATL,@,SFO,2013,2013-12-23,12,23,8:40,16,15,Mon,L,24,34,-10,,14.5,covered,46,over
